WAARNEMINGDATUM;HH;NTU_h;Year;Date
2022-01-31;01;NA;2022;01-31
2022-01-31;02;41.5;2022;01-31
2022-01-31;03;NA;2022;01-31
2022-01-31;04;49.25;2022;01-31
2022-01-31;05;NA;2022;01-31
2022-01-31;06;43.5;2022;01-31
2022-01-31;07;40;2022;01-31
2022-01-31;08;NA;2022;01-31
2022-01-31;09;47;2022;01-31
2022-01-31;10;NA;2022;01-31
2022-01-31;11;NA;2022;01-31
2022-01-31;12;53.5;2022;01-31
2022-01-31;13;60;2022;01-31
2022-01-31;14;NA;2022;01-31
2022-01-31;15;61;2022;01-31
2022-01-31;16;55.5;2022;01-31
2022-01-31;17;64;2022;01-31
2022-01-31;18;NA;2022;01-31
