WAARNEMINGDATUM HH NTU_h
2020-12-02 11 12
2020-12-02 12 12
2020-12-02 13 12
2020-12-02 14 11.5
2020-12-02 15 11.3333333333333
2020-12-02 16 11
2020-12-02 17 11
2020-12-02 19 10
2020-12-02 20 10
2020-12-02 21 10
2020-12-02 22 10
2021-12-02 00 33
2021-12-02 01 31
2021-12-02 02 26.5
2021-12-02 04 24
2021-12-02 06 20
2021-12-02 07 30.3333333333333
2021-12-02 08 30
2021-12-02 09 29
2021-12-02 10 28
2021-12-02 11 24.6666666666667
2021-12-02 17 21.25
2021-12-02 19 24
2021-12-02 20 25
2021-12-02 22 21
2021-12-02 23 19
2020-01-03 00 451
2020-01-03 01 618.583333333333
2020-01-03 02 502.333333333333
2020-01-03 03 711.333333333333
2020-01-03 04 801.25
2020-01-03 05 505.25
2020-01-03 06 557.666666666667
2020-01-03 07 500.166666666667
2020-01-03 08 622.5
2020-01-03 09 592.166666666667
2020-01-03 10 633.75
2020-01-03 11 623.166666666667
2020-01-03 12 679.916666666667
2020-01-03 13 598.666666666667
2020-01-03 14 481.5
2020-01-03 15 470.25
2020-01-03 16 529.666666666667
2020-01-03 17 561.583333333333
2020-01-03 18 449.416666666667
2020-01-03 19 413.333333333333
2020-01-03 20 422.5
2020-01-03 21 318.75
2020-01-03 22 351.083333333333
2020-01-03 23 422.583333333333
2021-01-03 00 508
2021-01-03 01 257.5
2021-01-03 02 254
2021-01-03 06 254
2021-01-03 07 7
2021-01-03 08 259
2021-01-03 09 7
2021-01-03 10 257.5
2021-01-03 11 258.5
2021-01-03 13 509.5
2021-01-03 14 9
2021-01-03 15 511
2021-01-03 16 16
2021-01-03 17 23
2021-01-03 18 346
2021-01-03 19 25
2021-01-03 20 508.5
2021-01-03 21 506
2020-02-03 00 881.25
2020-02-03 01 919.416666666667
2020-02-03 02 1136
2020-02-03 03 1027.91666666667
2020-02-03 04 1095.91666666667
2020-02-03 05 913.833333333333
2020-02-03 06 1053.41666666667
2020-02-03 07 926.416666666667
2020-02-03 08 1038.58333333333
2020-02-03 09 992.083333333333
2020-02-03 10 1073.58333333333
2020-02-03 11 1015.91666666667
2020-02-03 12 989.666666666667
2020-02-03 13 1056.83333333333
2020-02-03 14 967.5
2020-02-03 15 1016.08333333333
2020-02-03 16 1038.16666666667
2020-02-03 17 1009.66666666667
2020-02-03 18 969.166666666667
2020-02-03 19 782.333333333333
2020-02-03 20 488.083333333333
2020-02-03 21 945.416666666667
2020-02-03 22 850.083333333333
2020-02-03 23 873.666666666667
2021-02-03 00 17.6666666666667
2021-02-03 02 18.5
2021-02-03 03 20
2021-02-03 04 18
2021-02-03 05 24
2021-02-03 06 20
2021-02-03 07 20
2021-02-03 09 23
2021-02-03 11 21
2021-02-03 12 19.5
2021-02-03 13 17.5
2021-02-03 15 19
2021-02-03 17 18
2021-02-03 18 16.3333333333333
2021-02-03 19 15
2021-02-03 21 15.3333333333333
2020-03-03 01 52
2020-03-03 02 50
2020-03-03 04 48
2020-03-03 06 49
2020-03-03 07 47.75
2020-03-03 08 47
2020-03-03 09 48
2020-03-03 10 52
2020-03-03 11 51
2020-03-03 12 52.5
2020-03-03 14 55.5
2020-03-03 15 54
2020-03-03 17 58
2020-03-03 18 55
2020-03-03 19 58.5
2020-03-03 21 66.5
2020-03-03 22 57.5
2020-03-03 23 60
2020-04-03 00 32
2020-04-03 01 31
2020-04-03 02 31
2020-04-03 03 30.5
2020-04-03 07 24
2020-04-03 08 24
2020-04-03 09 24
2020-04-03 12 21
2020-04-03 15 23
2020-04-03 16 24
2020-04-03 19 30
2021-04-03 00 54
2021-04-03 01 55
2021-04-03 02 57
2021-04-03 04 51
2021-04-03 05 53
2021-04-03 07 52
2021-04-03 10 51
2021-04-03 11 49
2021-04-03 12 42.3333333333333
2021-04-03 15 36
2021-04-03 18 43
2021-04-03 19 42
2021-04-03 20 42
2021-04-03 21 45.5
2021-04-03 22 39
2020-05-03 00 29.3333333333333
2020-05-03 02 27.5
2020-05-03 04 26
2020-05-03 05 25
2020-05-03 06 25
2020-05-03 08 19
2020-05-03 09 23
2020-05-03 11 23
2020-05-03 12 15
2020-05-03 13 17
2020-05-03 14 19
2020-05-03 17 21
2020-05-03 18 20
2020-05-03 23 25.5
2021-05-03 00 20.5
2021-05-03 01 19
2021-05-03 02 19.5
2021-05-03 03 19
2021-05-03 05 23
2021-05-03 06 28
2021-05-03 07 30
2021-05-03 08 29
2021-05-03 09 31
2021-05-03 10 30.5
2021-05-03 11 30
2021-05-03 13 36
2021-05-03 14 37
2021-05-03 15 38
2021-05-03 16 34
2021-05-03 19 30.5
2021-05-03 20 31
2021-05-03 21 29
2021-05-03 22 32
2021-05-03 23 38
2020-06-03 02 11.5
2020-06-03 04 9.5
2020-06-03 05 9.5
2020-06-03 06 10.6666666666667
2020-06-03 07 10
2020-06-03 08 10
2020-06-03 15 14
2020-06-03 16 11.3333333333333
2020-06-03 17 12.3333333333333
2020-06-03 20 23
2020-06-03 21 25.5
2020-06-03 23 28
2021-06-03 04 8.75
2021-06-03 07 8
2021-06-03 08 8
2021-06-03 10 7
2021-06-03 11 7
2021-06-03 13 8.5
2021-06-03 14 7
2021-06-03 15 7.5
2021-06-03 16 7
2021-06-03 17 7
2021-06-03 18 8
2021-06-03 19 7
2021-06-03 20 7
2021-06-03 21 7
2020-07-03 02 22
2020-07-03 03 21
2020-07-03 04 20
2020-07-03 05 17
2020-07-03 06 18
2020-07-03 08 16.5
2020-07-03 09 15.6666666666667
2020-07-03 11 18
2020-07-03 12 22
2020-07-03 13 23
2020-07-03 16 40
2020-07-03 20 45.5
2020-07-03 21 51
2020-07-03 22 51.5
2020-07-03 23 50.5
2021-07-03 04 8
2021-07-03 05 8
2021-07-03 08 8
2021-07-03 09 9.5
2021-07-03 11 8.5
2021-07-03 12 8.66666666666667
2021-07-03 13 9
2021-07-03 15 7
2021-07-03 17 12.5
2021-07-03 19 7.5
2021-07-03 20 7.5
2021-07-03 21 7
2020-08-03 00 9.66666666666667
2020-08-03 02 8.5
2020-08-03 03 8
2020-08-03 05 7
2020-08-03 14 20
2020-08-03 21 9
2020-08-03 23 8
2021-08-03 01 11
2021-08-03 02 11
2021-08-03 06 11
2021-08-03 10 11
2021-08-03 11 11
2021-08-03 12 11
2021-08-03 15 7
2021-08-03 16 11
2021-08-03 17 9
2021-08-03 18 9
2021-08-03 19 9
2021-08-03 20 7
2021-08-03 23 7
2020-09-03 02 6.5
2020-09-03 03 5.75
2020-09-03 04 6.5
2020-09-03 05 7.33333333333333
2020-09-03 08 9
2020-09-03 10 13
2020-09-03 11 14.5
2020-09-03 12 16.6666666666667
2020-09-03 14 17
2020-09-03 15 18
2020-09-03 16 18.6666666666667
2020-09-03 17 19
2020-09-03 18 21
2020-09-03 19 21
2020-09-03 21 22
